HANDSET_NAME,HANDSET_BRAND
Ace Group G005,Ace
Ace Group YXTEL G929,Ace
Acer beTouch E130,Acer
Acer E700 Liquid,Acer
Acer Iconia Tab A1-811,Acer
Acer Iconia Tab A3,Acer
Acer Liquid S2 S520,Acer
Acer Z200 Liquid,Acer
Acer Z3,Acer
Acer Z500,Acer
Acer Z520,Acer
AFCOM W1,AFCOM
AG-TEL Mex Technology K-70,AG
Aikun (China) Electronics AT774GS,Aikun
Alcatel 1011D,Alcatel
Alcatel 2001X,Alcatel
Alcatel 7040T,Alcatel
Alcatel One Touch 1035D,Alcatel
Alcatel One Touch 119,Alcatel
Alcatel One Touch 132,Alcatel
Alcatel One Touch 217,Alcatel
Alcatel One Touch 255,Alcatel
Alcatel One Touch 255D,Alcatel
Alcatel One Touch 308,Alcatel
Alcatel One Touch 4007D Pixi,Alcatel
Alcatel One Touch 4010D T'Pop,Alcatel
Alcatel One Touch 4013D Pixi 3(4),Alcatel
Alcatel One Touch 4015D Pop C1,Alcatel
Alcatel One Touch 4015N Pop C1,Alcatel
Alcatel One Touch 4016D Pop C1,Alcatel
Alcatel One Touch 4018D Pop D1,Alcatel
Alcatel One Touch 4022D Pixi 3(3.5),Alcatel
Alcatel One Touch 4030D S'Pop,Alcatel
Alcatel One Touch 4032D Pop C2,Alcatel
Alcatel One Touch 4033D Pop C3,Alcatel
Alcatel One Touch 4035D Pop D3,Alcatel
Alcatel One Touch 5020X M'Pop,Alcatel
Alcatel One Touch 5035D X'Pop,Alcatel
Alcatel One Touch 5036A Pop C5,Alcatel
Alcatel One Touch 5036D Pop C5,Alcatel
Alcatel One Touch 506D,Alcatel
Alcatel One Touch 6010D,Alcatel
Alcatel One Touch 6010X,Alcatel
Alcatel One Touch 6012D Idol Mini,Alcatel
Alcatel One Touch 6016X Idol 2 Mini,Alcatel
Alcatel One Touch 6032 Idol Alpha,Alcatel
Alcatel One Touch 6033X,Alcatel
Alcatel One Touch 6034R Idol S,Alcatel
Alcatel One Touch 6037Y Idol 2,Alcatel
Alcatel One Touch 6040D,Alcatel
Alcatel One Touch 6043D Idol X+,Alcatel
Alcatel One Touch 605X,Alcatel
Alcatel One Touch 7025X Snap,Alcatel
Alcatel One Touch 7040D Pop C7,Alcatel
Alcatel One Touch 7041D Pop C7,Alcatel
Alcatel One Touch 7041X Pop C7,Alcatel
Alcatel One Touch 7045Y Pop S7,Alcatel
Alcatel One Touch 7047D Pop C9,Alcatel
Alcatel One Touch 8000D,Alcatel
Alcatel One Touch 8008D,Alcatel
Alcatel One Touch 8020D Hero,Alcatel
Alcatel One Touch 808G,Alcatel
Alcatel One Touch 813D,Alcatel
Alcatel One Touch 890D,Alcatel
Alcatel One Touch 903D,Alcatel
Alcatel One Touch 903X,Alcatel
Alcatel One Touch 918,Alcatel
Alcatel One Touch 985,Alcatel
Alcatel One Touch 985D,Alcatel
Alcatel One Touch 991,Alcatel
Alcatel One Touch 991D,Alcatel
Alcatel One Touch 992D,Alcatel
Alcatel One Touch 993 Smart,Alcatel
Alcatel One Touch 995,Alcatel
Alcatel One Touch 997D,Alcatel
Alcatel One Touch E201,Alcatel
Alcatel One Touch I216X Pixi 7,Alcatel
Alcatel One Touch Idol,Alcatel
Alcatel One Touch Idol 3 (5.5),Alcatel
Alcatel One Touch M600Q,Alcatel
Alcatel One Touch Pixi 3(4),Alcatel
Alcatel One Touch Pixi 3(4.5),Alcatel
