RATE_PLAN,PLAN_PREPAID,PLAN_POSTPAID,PLAN_COST
2011 Bouquet 100,FALSE,TRUE,100
2011 Bouquet 200,FALSE,TRUE,200
2011 Bouquet 25,FALSE,TRUE,25
2011 Bouquet 300 Max CTRL,FALSE,TRUE,300
2011 Bouquet 50,FALSE,TRUE,50
2011 Bouquet Ctrl 100,FALSE,TRUE,100
2011 Bouquet Ctrl 200,FALSE,TRUE,200
2011 Bouquet Ctrl 25,FALSE,TRUE,25
2011 Bouquet Ctrl 50,FALSE,TRUE,50
2011 Business Bouquet 300 Max,FALSE,TRUE,300
2011 Business Bouquet 500,FALSE,TRUE,500
2012 Bouquet 100,FALSE,TRUE,100
2012 Bouquet 100 Ctrl Revamp,FALSE,TRUE,100
2012 Bouquet 100 Revamp,FALSE,TRUE,100
2012 Bouquet 200,FALSE,TRUE,200
2012 Bouquet 200 Ctrl Revamp,FALSE,TRUE,200
2012 Bouquet 200 Revamp,FALSE,TRUE,200
2012 Bouquet 25,FALSE,TRUE,25
2012 Bouquet 25 Ctrl Revamp,FALSE,TRUE,25
2012 Bouquet 25 Revamp,FALSE,TRUE,25
2012 Bouquet 300,FALSE,TRUE,300
2012 Bouquet 300 MAX,FALSE,TRUE,300
2012 Bouquet 35 Ctrl Flat,FALSE,TRUE,35
2012 Bouquet 400,FALSE,TRUE,400
2012 Bouquet 400 MAX,FALSE,TRUE,400
2012 Bouquet 50,FALSE,TRUE,50
2012 Bouquet 500,FALSE,TRUE,500
2012 Bouquet 500 MAX,FALSE,TRUE,500
2012 Bouquet 50 Ctrl Revamp,FALSE,TRUE,50
2012 Bouquet 50 Revamp,FALSE,TRUE,50
2012 Bouquet Ctrl 100,FALSE,TRUE,100
2012 Bouquet Ctrl 200,FALSE,TRUE,200
2012 Bouquet Ctrl 25,FALSE,TRUE,25
2012 Bouquet Ctrl 300,FALSE,TRUE,300
2012 Bouquet Ctrl 300 MAX,FALSE,TRUE,300
2012 Bouquet Ctrl 400,FALSE,TRUE,400
2012 Bouquet Ctrl 400 MAX,FALSE,TRUE,400
2012 Bouquet Ctrl 50,FALSE,TRUE,50
2012 Bouquet Ctrl 500 MAX,FALSE,TRUE,500
2012 Bouquet ESDB 100,FALSE,TRUE,100
2013 Business El Asly 100,FALSE,TRUE,100
2013 Business El Asly 200,FALSE,TRUE,200
2013 Business El Asly 30,FALSE,TRUE,30
2013 Business El Asly 50,FALSE,TRUE,50
2013 Business El Asly 75,FALSE,TRUE,75
2014 ElAsly Plus 35,FALSE,TRUE,35
2014 ElAsly plus 35 Bill Limit,FALSE,TRUE,35
2014 ElAsly Plus 65,FALSE,TRUE,65
2014 ElAsly plus 65 Bill Limit,FALSE,TRUE,65
2014 Flex 20 CL 50,FALSE,TRUE,50
2014 Flex 40 CL 100,FALSE,TRUE,100
2014 Flex 40 CL 50,FALSE,TRUE,50
2014 Flex 45 CL 100,FALSE,TRUE,100
2014 Flex 60 CL 100,FALSE,TRUE,100
2014 Flex 60 CL 150,FALSE,TRUE,150
2014 Flex 80 CL 100,FALSE,TRUE,100
2014 Flex 80 CL 150,FALSE,TRUE,150
2014 Flex 80 CL 200,FALSE,TRUE,200
2014 MAC Carpet,FALSE,FALSE,
2015 MAC Carpet,FALSE,FALSE,
Arabeety,FALSE,TRUE,75
Arabeety Consumer,FALSE,TRUE,75
Arabeety Plus,FALSE,TRUE,100
Arabeety Voice,FALSE,TRUE,75
Browser Unlmtd Data Business,FALSE,TRUE,
Business Ass. Engineering,FALSE,TRUE,
Business Bouquet 200,FALSE,TRUE,200
Business Bouquet 200 Control,FALSE,TRUE,200
Business Bouquet 25 Control,FALSE,TRUE,25
Business Bouquet 75,FALSE,TRUE,75
Business Bouquet 75 Control,FALSE,TRUE,75
Business Flex 100,FALSE,TRUE,100
Business Flex 30,FALSE,TRUE,30
Business Flex 35,FALSE,TRUE,35
Business Flex 50,FALSE,TRUE,50
Business Flex 75,FALSE,TRUE,75
Business Red 150,FALSE,TRUE,150
Business Red 250,FALSE,TRUE,250
Business Red 350,FALSE,TRUE,350
Business Red 550,FALSE,TRUE,550
Business Tafseel Control,FALSE,TRUE,125
Business Unified USB 12 GB,FALSE,TRUE,150
Business Unified USB 3.5 GB,FALSE,TRUE,60
Business USB 100,FALSE,TRUE,100
Business USB 110 unlimited,FALSE,TRUE,110
Business USB 150 unlimited,FALSE,TRUE,150
Business USB 25,FALSE,TRUE,25
Business USB 250 unlimited,FALSE,TRUE,250
Business USB 25 Control,FALSE,TRUE,25
Business USB 50,FALSE,TRUE,50
Business USB 60 unlimited,FALSE,TRUE,60
Business Use VPN,FALSE,TRUE,
Control  75,FALSE,TRUE,75
